                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3452,                 1.2674,                 1.0473,                0.86333,                0.65757,                0.77445,                0.49781,                 1.1259,                 0.9191,                0.99069,               0.067067,             0.00033265,             0.00033265
                      2,                 1.2416,                0.93715,                 1.0271,                0.88556,                0.71607,                0.83028,                0.56148,                 1.0852,                0.80638,                0.98545,               0.034061,             0.00065939,             0.00065939
                      3,                 1.1937,                0.88665,                 1.0173,                0.88127,                0.71301,                0.82398,                0.55981,                 1.0377,                0.83127,                0.97004,              0.0010474,             0.00097953,             0.00097953
                      4,                 1.1686,                0.84632,                 1.0019,                0.85119,                0.73667,                 0.8331,                0.57771,                 1.0113,                0.77405,                0.96851,              0.0009703,              0.0009703,              0.0009703
                      5,                 1.1464,                0.81317,                0.99713,                 0.8817,                0.71812,                0.83461,                0.55286,                 1.0575,                0.76758,                0.97595,              0.0009703,              0.0009703,              0.0009703
                      6,                 1.1296,                0.79863,                0.99316,                0.88826,                0.75821,                0.85856,                  0.607,                0.96699,                0.68924,                0.95843,              0.0009604,              0.0009604,              0.0009604
                      7,                 1.1162,                0.79793,                0.98875,                0.87118,                0.75565,                0.85341,                 0.5878,                0.98475,                0.72272,                0.96236,              0.0009505,              0.0009505,              0.0009505
                      8,                 1.1162,                0.76583,                0.98268,                0.87387,                0.76162,                0.85874,                0.59971,                 1.0125,                0.69164,                0.96066,              0.0009406,              0.0009406,              0.0009406
                      9,                 1.0763,                0.74417,                0.97841,                  0.909,                0.73646,                0.83276,                0.59269,                0.98578,                0.75381,                 0.9702,              0.0009307,              0.0009307,              0.0009307
                     10,                 1.0772,                0.74572,                0.97917,                0.90399,                0.76688,                0.86431,                0.61061,                0.96382,                0.67024,                0.95683,              0.0009208,              0.0009208,              0.0009208
                     11,                 1.0756,                0.73664,                0.97538,                0.90449,                 0.7484,                0.85686,                0.58009,                 1.0426,                0.67519,                0.96832,              0.0009109,              0.0009109,              0.0009109
                     12,                 1.0609,                0.72596,                 0.9706,                0.88699,                0.76311,                0.86373,                0.61287,                0.97084,                0.65619,                   0.96,               0.000901,               0.000901,               0.000901
                     13,                 1.0261,                0.69714,                  0.961,                0.90077,                 0.7838,                0.88093,                0.62584,                0.93906,                0.63099,                0.94611,              0.0008911,              0.0008911,              0.0008911
                     14,                 1.0423,                0.70272,                0.96459,                0.90322,                0.76812,                0.86445,                0.60611,                0.98112,                0.65665,                0.95907,              0.0008812,              0.0008812,              0.0008812
                     15,                 1.0446,                0.69994,                 0.9656,                0.90861,                0.76738,                0.87218,                0.62881,                0.92812,                0.62798,                0.95272,              0.0008713,              0.0008713,              0.0008713
                     16,                 1.0241,                0.68037,                0.95618,                0.91774,                 0.7755,                0.88325,                0.63133,                0.94073,                0.61402,                0.95317,              0.0008614,              0.0008614,              0.0008614
                     17,                  1.028,                 0.6864,                0.96216,                0.89967,                0.78394,                0.87997,                0.63252,                0.92244,                 0.6031,                0.94668,              0.0008515,              0.0008515,              0.0008515
                     18,                 1.0112,                0.67246,                0.95812,                0.90792,                0.79446,                0.88824,                0.62501,                0.95853,                0.58676,                0.94643,              0.0008416,              0.0008416,              0.0008416
                     19,                 1.0285,                 0.6829,                0.96183,                0.92034,                0.76716,                0.87251,                0.62736,                0.96362,                0.63239,                0.95763,              0.0008317,              0.0008317,              0.0008317
                     20,                 1.0094,                0.67009,                0.95504,                 0.8908,                0.76881,                0.87967,                0.61328,                 0.9543,                 0.6111,                0.95293,              0.0008218,              0.0008218,              0.0008218
                     21,                 1.0024,                0.65151,                0.94816,                0.91911,                0.76558,                0.88144,                0.61569,                0.96851,                0.59688,                0.95932,              0.0008119,              0.0008119,              0.0008119
                     22,                 1.0059,                0.65901,                0.95361,                0.91272,                0.78849,                0.88273,                0.65167,                 0.8835,                0.58302,                0.93694,               0.000802,               0.000802,               0.000802
                     23,                0.99241,                0.64552,                0.94638,                0.90184,                0.78748,                0.88759,                0.62924,                0.94216,                0.59923,                0.95911,              0.0007921,              0.0007921,              0.0007921
                     24,                0.99684,                  0.651,                0.94414,                0.90255,                0.80179,                0.89702,                0.65028,                0.89009,                0.56893,                0.92933,              0.0007822,              0.0007822,              0.0007822
                     25,                0.98931,                0.65055,                0.94841,                0.91113,                0.80171,                0.90025,                0.65704,                0.89593,                 0.5706,                0.93421,              0.0007723,              0.0007723,              0.0007723
                     26,                 0.9882,                0.64744,                0.93973,                0.90657,                0.77953,                0.89175,                0.63559,                 0.9345,                 0.5848,                0.96162,              0.0007624,              0.0007624,              0.0007624
                     27,                0.98693,                0.63512,                 0.9459,                0.92516,                0.79829,                 0.8997,                0.64731,                0.93081,                0.56688,                0.94462,              0.0007525,              0.0007525,              0.0007525
                     28,                0.97706,                0.63764,                0.94405,                0.90554,                0.81407,                0.89867,                0.64833,                0.90925,                0.57465,                0.94003,              0.0007426,              0.0007426,              0.0007426
                     29,                0.98555,                0.62996,                0.94301,                0.92173,                0.77953,                0.88602,                0.64292,                0.89826,                0.57935,                0.94264,              0.0007327,              0.0007327,              0.0007327
                     30,                0.97659,                0.62793,                0.94203,                0.89207,                0.81194,                0.89837,                0.65477,                 0.8922,                0.55627,                0.93089,              0.0007228,              0.0007228,              0.0007228
                     31,                0.97253,                0.62106,                0.93997,                0.91824,                 0.8094,                 0.9052,                0.67397,                0.86067,                0.54715,                0.92578,              0.0007129,              0.0007129,              0.0007129
                     32,                 0.9671,                0.60988,                0.93254,                0.92317,                0.79744,                0.90197,                0.65384,                0.91521,                  0.566,                0.93638,               0.000703,               0.000703,               0.000703
                     33,                0.95614,                0.61283,                0.93945,                0.91523,                0.79653,                0.90402,                0.65943,                 0.8745,                0.54663,                0.93205,              0.0006931,              0.0006931,              0.0006931
                     34,                0.96921,                0.61085,                0.93837,                0.88854,                0.82217,                0.90259,                0.66173,                0.87962,                0.54825,                0.93246,              0.0006832,              0.0006832,              0.0006832
                     35,                0.95359,                0.61093,                0.93926,                0.91192,                0.80798,                0.90165,                0.65326,                0.89033,                0.55012,                0.93789,              0.0006733,              0.0006733,              0.0006733
                     36,                0.95213,                0.60038,                0.93166,                0.91882,                0.80171,                0.90444,                0.65347,                0.90551,                0.55555,                0.93333,              0.0006634,              0.0006634,              0.0006634
                     37,                0.96254,                0.60909,                0.93545,                0.92786,                0.78934,                0.90091,                0.65415,                0.89047,                0.54777,                0.93544,              0.0006535,              0.0006535,              0.0006535
                     38,                0.95289,                0.60032,                0.92969,                0.90543,                0.81652,                0.90608,                0.64954,                0.90583,                0.54497,                0.93534,              0.0006436,              0.0006436,              0.0006436
                     39,                0.93517,                0.59439,                0.93372,                0.92229,                0.81322,                0.90994,                  0.667,                0.88394,                0.53759,                0.93275,              0.0006337,              0.0006337,              0.0006337
                     40,                0.94008,                0.59211,                0.92788,                0.91185,                0.82049,                0.91416,                0.65933,                0.88987,                0.52915,                0.92618,              0.0006238,              0.0006238,              0.0006238
                     41,                0.94132,                0.59477,                0.93239,                0.91948,                0.80834,                0.90929,                0.65685,                0.90941,                0.53746,                0.93783,              0.0006139,              0.0006139,              0.0006139
